Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Story,KM-38,10067,as a customer i want to be able to add notes to my order so that any further information i need to add is included,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/12/2024 3:17,11/17/2024 2:30,
Story,KM-37,10066,as a customer i want to choose my shipping method so that it suits my needs,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/12/2024 3:14,11/17/2024 2:29,
Story,KM-36,10065,as i customer i want to have option to proceed to the check out or continue my shopping so that it would be easier for me without losing any updates in cart page,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/12/2024 3:12,11/17/2024 2:28,
Story,KM-35,10064,as a customer i want to use my coupon in the payment so that it gets applied to the subtotal,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/12/2024 3:09,11/17/2024 2:27,
Story,KM-34,10063,as a customer i want to increase the quantity of my items in the cart and see the changes in the subtotal,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/12/2024 3:05,11/17/2024 2:24,
Epic,KM-33,10062,cart,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/12/2024 3:01,11/12/2024 3:01,
Story,KM-32,10061,as a vendor i want to register and access my account to add my products and their price so that it will be available for sale ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/3/2024 13:59,11/3/2024 13:59,
Story,KM-31,10060,as a customer i want to review and rate  my orders and see others reviews and rates so that as customers we can share our experience in different products  ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/2/2024 1:52,11/2/2024 1:56,
Story,KM-30,10059,as a customer i want to give feedback a bout my experience in the platform so that the system provide can make easier to use so i don't face same issues again,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/2/2024 1:46,11/2/2024 1:51,
Story,KM-29,10058,as a customer i want to have option to contact customer service and FAQ  so that i resolve the issues i face  in my shopping experience and get a guide ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/2/2024 1:45,11/2/2024 1:51,
Story,KM-28,10057,as a customer i want to keep tracking my order so that i know the status of my order at the moment and be ready to receive it  ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/2/2024 1:45,11/2/2024 1:51,
Story,KM-26,10055,as a customer i want to be in contact with my order driver and the system support so that i  can get my order easily ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/2/2024 1:43,11/2/2024 1:51,
Epic,KM-20,10049,order tracking and support ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/2/2024 1:24,11/2/2024 1:24,
Story,KM-19,10048,as a customer i want choose my payment method and put my card information securely so that i protect my information and pay my purchase easily ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/2/2024 1:21,11/17/2024 2:28,
Story,KM-18,10047,"as a customer i want to fill my info , choose a shipping location and address accurately  so that i get my order to my place without a hazard ",,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/2/2024 1:19,11/17/2024 2:29,
Story,KM-17,10046,as a customer i want to purchase the items i chosen and add the coupon and the shipping fees so that i know the subtotal of my order ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/2/2024 1:09,11/17/2024 2:27,
Story,KM-16,10045,as a customer i want to be able to add and drop items from my cart freely and add items to my wish list so that i can get my items when iam ready,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/2/2024 1:08,11/17/2024 2:35,
Story,KM-15,10044,as a customer i want to to see  recommendations based on my purchase and my browsing history and the best sellers and reviews so that i can choose the best item suits my standards,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/2/2024 1:03,11/16/2024 23:32,
Story,KM-14,10043,as a customer i want to search to the product i want by simple key wards so that i can find the product i am looking for easily ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/2/2024 1:00,11/16/2024 22:40,
Story,KM-13,10042,"as a customer ,i want to categorize and filter different items ,so that i can get easily to the items i want ",,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/2/2024 0:55,11/17/2024 2:33,
Story,KM-12,10041,"as a registered user i want to reset my password incase i forget the password ,  so that i can access my account again ",,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/2/2024 0:27,11/2/2024 0:57,
Story,KM-11,10040,"as a registered user i want to log in to my account by my credentials ,so i can purchase items and track my orders ",,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/2/2024 0:26,11/2/2024 0:57,
Story,KM-10,10039,as a user i want to register to the system so i have account and access the system,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/2/2024 0:23,11/2/2024 0:57,
Epic,KM-9,10038,reviewing and rating,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/2/2024 0:19,11/2/2024 1:56,
Epic,KM-8,10037,customer support and feed back,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/1/2024 0:32,11/1/2024 0:32,
Epic,KM-7,10036,vendor register and acessability,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/1/2024 0:29,11/1/2024 0:29,
Epic,KM-6,10035,order payment and shipping  ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/1/2024 0:28,11/2/2024 1:23,
Epic,KM-5,10034,product check out ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/1/2024 0:23,11/2/2024 1:23,
Epic,KM-4,10033,"products adding ,categories and filtering ",,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/1/2024 0:19,11/2/2024 1:12,
Epic,KM-3,10032,search and recommendation engine ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/1/2024 0:14,11/1/2024 0:14,
Epic,KM-2,10031,user sign in ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/1/2024 0:10,11/1/2024 0:10,
Epic,KM-1,10030,user register ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/1/2024 0:09,11/1/2024 0:09,
